住む,すむ,To live
住所,しゅうしょ,Address
所,ところ,Place
場所,ばしょ,Location
近所,きんじょ,Neighborhood
台所,だいどころ,Kitchen
京,みやこ,
京都,きょうと,
東京,とうきょう,
都市,とし,
首都,しゅと,
都合,つごう,
政府,せいふ,
大阪府,おおさかふ,
県,けん,
市,し,
市,いち,
市役所,しやくしょ,
市内,しない,
区,く,
区別,くべつ,
町,まち,
町中,まちなか,
町民,ちょうみん,
村,むら,
村長,そんちょう,
明るい,あかるい,
明⽇,あした,
夜明け,よあけ,Daybreak
年明け,としあ,Beginning of new year
暗い,くらい,
暗記,あんき,
遠い,とおい,
遠⾜,えんそく,
遠くに,とおくに,Long distance
近く,ちかく,
近所,きんじょ,
近づく,ちかづく,To approach
強い,つよい,
強 ⼒,きょうりょく,Powerful
強引,ごういん,Forceful
弱い,よわい,
弱 点,じゃくてん,Weakpoint
重さ,おもさ,
重なる,かさなる,To be piled up
重 ⼤,じゅうだい,Serious
体 重,たいじゅう,Weight
軽い,かるい,
軽 ⾷,けいしょく,light snack
⼿軽,てがる,Simple
太る,ふとる,
太陽,たいよう,
細かい,こまかい,
細い,ほそい,
特に,とくに,
特別,とくべつ,
別に,べつ,
別れる,わかれる,be apart
区別,く べ つ,
別々,べつべつ,
有名,ゆうめい,
有ります,あります,
有 料,ゆうりょう,not free
便り,たより,correspondence
郵便,ゆうびん,
便利,べ ん り,
航空便,こうくうびん,
船便,ふなびん,
便利さ,べ ん りさ,
利⽤,り よ う,use
有利,ゆ う り,advantageous
利く,きく,Profit
不便,ふ べ ん,
不⾜,ふ そ く,shortage
不安,ふ あ ん,
切る,きる,
⼤切,たいせつ,
切符,き っ ぷ,
元,もと,
元気,げ ん き,
⾜元,あしもと,
元⽇,がんじつ,
好き,すき,
好物,こうぶつ,
急ぐ,いぞぐ,
急ぎ,いぞぎ,
急 に,きゅうに,quickly
救 急 ⾞,きゅうきゅうしゃ,Ambulance
特 急,とっきゅう,limited express
低 い,ひくい,
最 低,さいてい,worst
低 温,ていおん,low temperature
広い,ひろい,
広さ,ひろさ,
広がる,ひろがる,
広場,ひろば,Open space
広 告,こうこく,advertisement
広島,ひろしま,
短い,みじかい,
短期,たんき,short-term
短時間,たんじかん,short time
短気,たんき,short temper
良い,よい,
最良,さいりょう,the best
不良品,ふりょうひん,inferior goods
悪 い,わるい,
悪 ⼝,わるぐち,speaking badly about someone
最悪,さいあく,worst
悪⼈,あくにん,bad person
悪者,わるもの,bad guy
正しい,ただしい,
正 ⽉,しょうがつ,New Year
正解,せいかい,correct answer
正 直,しょうじき,frank
正⾨,せいもん,
不正,ふせい,injustice
