仕事,しごと,work
仕方,しかた,"way, method"
事,こと,"thing, matter"
食事,しょくじ,meal
大事,だいじ,important
用事,ようじ,"errand, business"
家事,かじ,housework
火事,かじ,fire
銀行,ぎんこう,bank
銀色,ぎんいろ,silver colour
銀座,ぎんざ,district in Tokyo
金銀,きんぎん,gold & silver
店員,てんいん,shop assistant
社員,しゃいん,company employee
銀行員,ぎんこういん,bank employee
全員,ぜんいん,everyone
若者,わかもの,young person
作者,さくしゃ,creator
記者,きしゃ,reporter
筆者,ひっしゃ,writer
医者,いしゃ,doctor
医学,いがく,medical science
歯医者,はいしゃ,dentist
働く,はたらく,to work
働き者,はたらきもの,hard worker
部屋,へや,room
花屋,はなや,flower shop
本屋,ほんや,book shop
屋上,おくじょう,roof top
産む,うむ,to produce
生産,せいさん,production
お土産,おみやげ,souvenir
国産,こくさん,domestically produced
産業,さんぎょう,industry
授業,じゅぎょう,class
卒業,そつぎょう,graduation
営業,えいぎょう,business
