仕事,しごと,work
仕方,しかた,"way, method"
事,こと,"thing, matter"
食事,しょくじ,meal
大事,だいじ,important
用事,ようじ,"errand, business"
家事,かじ,housework
火事,かじ,fire
銀行,ぎんこう,bank
銀色,ぎんいろ,silver colour
銀座,ぎんざ,district in Tokyo
金銀,きんぎん,gold & silver
店員,てんいん,shop assistant
社員,しゃいん,company employee
銀行員,ぎんこういん,bank employee
全員,ぜんいん,everyone
若者,わかもの,young person
作者,さくしゃ,creator
記者,きしゃ,reporter
筆者,ひっしゃ,writer
医者,いしゃ,doctor
医学,いがく,medical science
歯医者,はいしゃ,dentist
働く,はたらく,to work
働き者,はたらきもの,hard worker
部屋,へや,room
花屋,はなや,flower shop
本屋,ほんや,book shop
屋上,おくじょう,roof top
産む,うむ,to produce
生産,せいさん,production
お土産,おみやげ,souvenir
国産,こくさん,domestically produced
産業,さんぎょう,industry
授業,じゅぎょう,class
卒業,そつぎょう,graduation
営業,えいぎょう,business
林,はやし,Woods
森,もり,Forest
森林,しんりん,Forest
⻘森,あおもり,Aomori Prefecture
地球,ちきゅう,Earth
地震,じしん,Earthquake
地図,ちず,Map
地下,ちか,Underground
地下鉄,ちかてつ,Subway
池,いけ,Pond
電池,でんち,Battery
海,うみ,Sea waters 
海外,かいがい,foreign
北海道,ほっかいどう,Hokkaido
洋服,ようふく,Western wear
洋⾷,よしうょく ,Western food
雪,ゆき,Snow
⼤雪,おおゆき,Heavy snowfall
⼩雪,こゆき,Light snow
光り,ひかり,"Light, Illumination"
光る,光ひかる,To shine
観光,かんこう,Tourism
観光客,かんこうきゃく,Tourist
⽇光,にっこう,"Sunlight, Nikko"
⼀台,いちだい,１Machine/1vehicle(counter)
台所,だいどころ,Kitchen
台⾵,たいふう,Typhoon
⾵ ,かぜ,Wind
洋⾵,ようふう,Western style
和⾵,わふう,Japanese style
